Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
1,Aaron Brooks,2015-16,31,CHI,NBA,0.9,0.2,-1.3,11.8,-2.6
2,Aaron Gordon,2015-16,20,ORL,NBA,5.4,3.2,0.9,17,1
3,Aaron Harrison,2015-16,21,CHO,NBA,0,-0.2,-7.2,4.3,-6.3
4,Adreian Payne,2015-16,24,MIN,NBA,-0.5,-0.9,-6.1,5.6,-6.2
5,Al Horford,2015-16,29,ATL,NBA,9.4,4.9,2.2,19.4,3.8
6,Al Jefferson,2015-16,31,CHO,NBA,2.8,1,-0.9,18.2,-0.5
7,Alan Anderson,2015-16,33,WAS,NBA,0.3,0.2,-2.4,9.2,-2.3
8,Alan Williams,2015-16,23,PHO,NBA,0.2,0.1,-2,21.1,-0.2
9,Alec Burks,2015-16,24,UTA,NBA,1.5,0.7,0.2,14.3,-0.4
10,Alex Len,2015-16,22,PHO,NBA,1.3,-0.5,-3.5,12.4,-4.3
11,Alex Stepheson,2015-16,28,TOT,NBA,0.1,0,-0.5,14.8,-2.4
12,Alexis Ajinça,2015-16,27,NOP,NBA,1,0.2,-3.4,13.8,-4
13,Al-Farouq Aminu,2015-16,25,POR,NBA,4,1.7,-0.2,12.7,0.1
14,Allen Crabbe,2015-16,23,POR,NBA,4.3,3.1,-0.9,12.2,-1
15,Alonzo Gee,2015-16,28,NOP,NBA,1.9,1,-3.2,8.4,-2.6
16,Amar'e Stoudemire,2015-16,33,MIA,NBA,2.4,1.1,-1.3,17.3,-0.6
17,Amir Johnson,2015-16,28,BOS,NBA,5.9,3,-0.4,16,1.2
18,Anderson Varejão,2015-16,33,TOT,NBA,1,0.3,-3.5,11.1,-2.9
19,Andre Drummond,2015-16,22,DET,NBA,7.4,2,0.8,21.2,1.1
20,Andre Iguodala,2015-16,32,GSW,NBA,4.4,2.3,-0.2,12.2,1.1
21,Andre Miller,2015-16,39,TOT,NBA,1,0.6,-1.4,13.4,-1.9
