Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Chris Paul,2014,LAC,75,"2,634.30",4.37,2.34,6.71,15.5
LeBron James,2014,MIA,97,"3,650.00",5.78,-0.46,5.32,18.4
Kevin Durant,2014,OKC,100,"3,923.30",5.38,-0.15,5.23,19.8
Stephen Curry,2014,GSW,85,"3,129.70",5.3,-0.11,5.19,15.8
Kevin Love,2014,MIN,77,"2,787.60",4.4,0.28,4.68,13.1
Kawhi Leonard,2014,SAS,89,"2,650.50",0.94,3.5,4.44,12.3
James Harden,2014,HOU,79,"3,031.10",4.67,-0.38,4.29,13.4
Paul George,2014,IND,99,"3,670.20",1.74,2.5,4.24,16.8
Manu Ginobili,2014,SAS,91,"2,131.80",3.72,0.46,4.18,9.4
Goran Dragic,2014,PHO,76,"2,661.60",4.09,-0.33,3.75,10.9
Blake Griffin,2014,LAC,93,"3,326.90",3.01,0.71,3.72,13.6
Ricky Rubio,2014,MIN,82,"2,631.70",2.1,1.58,3.69,10.8
Dirk Nowitzki,2014,DAL,87,"2,882.80",3.21,0.33,3.54,11.4
Joakim Noah,2014,CHI,85,"3,022.90",0.92,2.52,3.44,12.2
DeAndre Jordan,2014,LAC,95,"3,301.20",1.22,2.21,3.43,12.9
Dwight Howard,2014,HOU,77,"2,621.20",1.73,1.66,3.39,10.2
Kyle Lowry,2014,TOR,86,"3,127.40",3.04,0.29,3.33,12.1
Deron Williams,2014,BRK,76,"2,481.30",2.88,0.43,3.31,9.5
Andre Iguodala,2014,GSW,70,"2,280.40",1.39,1.88,3.27,8.8
Jae Crowder,2014,DAL,85,"1,332.30",0.52,2.68,3.2,5
Carmelo Anthony,2014,NYK,77,"2,972.00",3.17,-0.02,3.15,11.1
Chris Bosh,2014,MIA,99,"3,206.40",1.49,1.57,3.06,11.8
Danny Green,2014,SAS,91,"2,173.50",-0.02,3.07,3.06,8.1
Kemba Walker,2014,CHA,77,"2,764.40",0.92,2.11,3.03,10.4
Anderson Varejao,2014,CLE,65,"1,796.10",0.41,2.61,3.02,6.7
LaMarcus Aldridge,2014,POR,80,"2,933.20",1.74,1.26,3,10.6
Marcin Gortat,2014,WAS,92,"3,026.00",0.02,2.96,2.98,11.2
David West,2014,IND,99,"3,152.50",0.99,1.84,2.83,11.4
Serge Ibaka,2014,OKC,98,"3,239.50",0.92,1.89,2.81,11.4
Russell Westbrook,2014,OKC,65,"2,141.60",3.4,-0.63,2.78,7.5
Anthony Davis,2014,NOP,67,"2,351.50",1.6,1.1,2.69,8.1
DeMarcus Cousins,2014,SAC,71,"2,290.60",0.89,1.81,2.69,8
Klay Thompson,2014,GSW,88,"3,113.80",2.3,0.34,2.64,10.7
Andrew Bogut,2014,GSW,67,"1,762.20",-0.85,3.48,2.63,6.1
Channing Frye,2014,PHO,82,"2,308.70",1.82,0.76,2.58,7.8
John Wall,2014,WAS,93,"3,389.80",1.46,1.07,2.52,11.5
Tim Duncan,2014,SAS,97,"2,903.00",0.43,2.08,2.52,9.8
Damian Lillard,2014,POR,93,"3,395.90",3.51,-1.07,2.44,11.1
Patty Mills,2014,SAS,104,"1,871.80",2.33,-0.02,2.31,6
Isaiah Thomas,2014,SAC,72,"2,487.20",2.7,-0.47,2.23,7.9
Kyle O'Quinn,2014,ORL,69,"1,189.70",-0.58,2.8,2.22,3.8
