FourFactorsRAPM

playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey
1628681,"Rodney Purvis",-0.62,381,0.07,241,-0.69,425,-1.34,471,-0.06,284,-1.29,515,-0.94,429,-0.18,325,-0.76,429,-0.51,400,-0.22,372,-0.29,381,0.64,94,-0.31,414,0.94,14,-1.5,462,-0.63,407,-0.87,437,"2017-18",1610612753,"ORL","1628681_2017-18"
202331,"Paul George",1.32,78,0.77,89,0.55,123,-0.17,295,-0.46,390,0.29,185,1.96,49,0.39,176,1.56,48,0.34,172,-0.3,407,0.64,89,0.72,80,1.16,11,-0.44,461,0.31,193,0.14,222,0.17,203,"2017-18",1610612760,"SEA","202331_2017-18"
1628502,"Nigel Hayes",-0.57,375,-0.06,303,-0.51,392,0.01,264,0.47,143,-0.48,397,-0.58,374,-0.38,363,-0.2,317,0.34,171,0.27,168,0.07,231,0.16,217,-0.04,297,0.21,163,0.25,206,0.63,138,-0.38,351,"2017-18",0,"League","1628502_2017-18"
101106,"Andrew Bogut",-1.56,496,0.12,224,-1.68,527,0.57,152,1.2,41,-0.63,423,-1.22,446,0.21,215,-1.42,499,1.2,55,0.55,81,0.66,85,-0.84,478,-0.03,291,-0.8,514,-0.47,352,0.77,113,-1.23,486,"2017-18",1610612747,"LAL","101106_2017-18"
101107,"Marvin Williams",0.53,147,0.41,145,0.13,205,0.29,192,0.88,79,-0.59,418,2.03,43,1.54,48,0.5,129,0.41,157,-0.67,480,1.08,39,-1.26,521,-0.53,462,-0.73,506,0.2,215,0.49,162,-0.29,336,"2017-18",1610612766,"CHA","101107_2017-18"
101108,"Chris Paul",3.45,7,1.07,45,2.38,10,3.16,7,0.47,144,2.69,3,1.64,65,1.78,33,-0.14,299,-1.3,495,-0.22,370,-1.09,498,2.26,1,0.43,88,1.83,1,4.96,3,0.81,102,4.15,2,"2017-18",1610612745,"HOU","101108_2017-18"
101109,"Raymond Felton",-0.3,320,-0.02,275,-0.29,350,0.13,234,0.5,137,-0.37,373,-0.78,405,-0.2,332,-0.58,393,-1.64,514,-0.43,437,-1.22,508,0.75,74,0.32,130,0.43,91,-0.66,376,0.31,190,-0.98,456,"2017-18",1610612760,"SEA","101109_2017-18"
101112,"Channing Frye",0.91,113,0.02,261,0.89,81,1.56,52,0.2,200,1.36,33,0.19,221,-0.39,364,0.57,121,-0.23,342,0.16,210,-0.39,402,-0.57,439,-0.44,445,-0.13,340,1.6,73,0.14,225,1.46,49,"2017-18",0,"League","101112_2017-18"
101123,"Gerald Green",-0.32,326,-0.59,429,0.27,162,0.07,246,0.41,161,-0.34,364,-0.88,415,-0.81,423,-0.07,273,-0.87,452,0.42,114,-1.29,517,0.17,208,-0.45,447,0.62,48,-0.39,338,0.5,159,-0.89,441,"2017-18",1610612745,"HOU","101123_2017-18"
101127,"Jarrett Jack",0.37,166,-0.11,325,0.48,131,2.01,27,0.73,97,1.28,35,-1.49,468,0.35,184,-1.84,515,0.01,262,0.31,150,-0.3,384,-0.33,388,-0.74,502,0.42,97,1.63,70,0.43,169,1.2,72,"2017-18",1610612752,"NYK","101127_2017-18"
101133,"Ian Mahinmi",0.69,132,0.33,161,0.35,145,0.46,172,0.16,209,0.31,180,-1.59,473,-1.67,504,0.09,208,2.55,9,0.51,87,2.04,4,-0.55,433,0.35,114,-0.89,521,1.48,83,0.75,120,0.73,115,"2017-18",1610612764,"WAS","101133_2017-18"
101139,"CJ Miles",0.89,116,-0.02,280,0.91,78,-0.09,273,0.47,142,-0.56,411,-1.79,488,-1.2,465,-0.59,395,-2.24,534,-1.82,534,-0.42,412,1.01,39,0.39,99,0.61,49,0.37,190,0.1,238,0.27,189,"2017-18",1610612761,"TOR","101139_2017-18"
